| Фаза   | Таймер   | Ресурс | FEC                                                                    | CEC                                                                    |
| ФП     | 1506.8   | 1      | "11,1535.2,0,1; 9,1590.0,7,8"                                          | "8,1499.0,9,10; 10,1506.8,4,5"                                         |
| ФП     | 1506.8   | 1      | "11,1535.2,0,1; 8,1561.2,10,11; 9,1590.0,7,8"                          | "10,1506.8,4,5"                                                        |
| ФП     | 1506.8   | 1      | "11,1535.2,0,1; 8,1561.2,10,11; 9,1590.0,7,8"                          | "10,1506.8,5,6"                                                        |
| ФП     | 1506.8   | 2      | "11,1535.2,0,1; 8,1561.2,10,11; 9,1590.0,7,8"                          | "10,1506.8,6,7"                                                        |
| ФКТ    | 1561.2   | 2      | "11,1535.2,0,1; 8,1561.2,10,11; 9,1590.0,7,8; 10,1678.6,7,8"           | ""                                                                     |
| ФКТ    | 1561.2   | 2      | "8,1561.2,10,11; 9,1590.0,7,8; 10,1678.6,7,8"                          | "11,1535.2,0,1"                                                        |
| ФП     | 1561.2   | 2      | "9,1590.0,7,8; 10,1678.6,7,8"                                          | "11,1535.2,0,1; 8,1561.2,10,11"                                        |
| ФП     | 1561.2   | 2      | "9,1590.0,7,8; 10,1678.6,7,8"                                          | "11,1535.2,1,2; 8,1561.2,10,11"                                        |
| ФП     | 1561.2   | 2      | "9,1590.0,7,8; 10,1678.6,7,8; 12,1683.1,0,1"                           | "11,1535.2,2,3; 8,1561.2,10,11"                                        |
| ФП     | 1561.2   | 2      | "9,1590.0,7,8; 10,1678.6,7,8; 12,1683.1,0,1"                           | "11,1535.2,3,4; 8,1561.2,10,11"                                        |
| ФП     | 1561.2   | 2      | "9,1590.0,7,8; 11,1622.6,4,5; 10,1678.6,7,8; 12,1683.1,0,1"            | "8,1561.2,10,11"                                                       |
| ФП     | 1561.2   | 2      | "9,1590.0,7,8; 11,1622.6,4,5; 10,1678.6,7,8; 12,1683.1,0,1"            | "8,1561.2,11,11"                                                       |
| ФКТ    | 1622.6   | 2      | "9,1590.0,7,8; 11,1622.6,4,5; 10,1678.6,7,8; 12,1683.1,0,1"            | ""                                                                     |
| ФКТ    | 1622.6   | 2      | "11,1622.6,4,5; 10,1678.6,7,8; 12,1683.1,0,1"                          | "9,1590.0,7,8"                                                         |
| ФП     | 1622.6   | 2      | "10,1678.6,7,8; 12,1683.1,0,1"                                         | "9,1590.0,7,8; 11,1622.6,4,5"                                          |
| ФП     | 1622.6   | 1      | "10,1678.6,7,8; 12,1683.1,0,1"                                         | "9,1590.0,8,9; 11,1622.6,4,5"                                          |
| ФП     | 1622.6   | 1      | "10,1678.6,7,8; 12,1683.1,0,1"                                         | "9,1590.0,9,10; 11,1622.6,4,5"                                         |
| ФП     | 1622.6   | 1      | "10,1678.6,7,8; 12,1683.1,0,1; 9,1730.5,10,11"                         | "11,1622.6,4,5"                                                        |
| ФП     | 1622.6   | 1      | "10,1678.6,7,8; 12,1683.1,0,1; 9,1730.5,10,11"                         | "11,1622.6,5,6"                                                        |
| ФП     | 1622.6   | 2      | "10,1678.6,7,8; 12,1683.1,0,1; 9,1730.5,10,11"                         | "11,1622.6,6,7"                                                        |
| ФКТ    | 1730.5   | 2      | "10,1678.6,7,8; 12,1683.1,0,1; 9,1730.5,10,11; 11,1808.6,7,8"          | ""                                                                     |
| ФКТ    | 1730.5   | 2      | "12,1683.1,0,1; 9,1730.5,10,11; 11,1808.6,7,8"                         | "10,1678.6,7,8"                                                        |
| ФКТ    | 1730.5   | 2      | "9,1730.5,10,11; 11,1808.6,7,8"                                        | "10,1678.6,7,8; 12,1683.1,0,1"                                         |
| ФП     | 1730.5   | 2      | "11,1808.6,7,8"                                                        | "10,1678.6,7,8; 12,1683.1,0,1; 9,1730.5,10,11"                         |
| ФП     | 1730.5   | 1      | "11,1808.6,7,8"                                                        | "10,1678.6,8,9; 12,1683.1,0,1; 9,1730.5,10,11"                         |
| ФП     | 1730.5   | 1      | "11,1808.6,7,8"                                                        | "10,1678.6,9,10; 12,1683.1,0,1; 9,1730.5,10,11"                        |
| ФП     | 1730.5   | 1      | "11,1808.6,7,8; 10,1820.7,10,11"                                       | "12,1683.1,0,1; 9,1730.5,10,11"                                        |
| ФП     | 1730.5   | 1      | "11,1808.6,7,8; 10,1820.7,10,11"                                       | "12,1683.1,1,2; 9,1730.5,10,11"                                        |
| ФП     | 1730.5   | 1      | "11,1808.6,7,8; 10,1820.7,10,11; 13,1838.9,0,1"                        | "12,1683.1,2,3; 9,1730.5,10,11"                                        |
| ФП     | 1730.5   | 1      | "11,1808.6,7,8; 10,1820.7,10,11; 13,1838.9,0,1"                        | "12,1683.1,3,4; 9,1730.5,10,11"                                        |
| ФП     | 1730.5   | 1      | "12,1683.1,3,4; 11,1808.6,7,8; 10,1820.7,10,11; 13,1838.9,0,1"         | "9,1730.5,10,11"                                                       |
| ФП     | 1730.5   | 1      | "12,1683.1,3,4; 11,1808.6,7,8; 10,1820.7,10,11; 13,1838.9,0,1"         | "9,1730.5,11,11"                                                       |
| ФКТ    | 1820.7   | 1      | "12,1683.1,3,4; 11,1808.6,7,8; 10,1820.7,10,11; 13,1838.9,0,1"         | ""                                                                     |
| ФКТ    | 1820.7   | 1      | "11,1808.6,7,8; 10,1820.7,10,11; 13,1838.9,0,1"                        | "12,1683.1,3,4"                                                        |
| ФКТ    | 1820.7   | 1      | "10,1820.7,10,11; 13,1838.9,0,1"                                       | "12,1683.1,3,4; 11,1808.6,7,8"                                         |
| ФП     | 1820.7   | 1      | "13,1838.9,0,1"                                                        | "12,1683.1,3,4; 11,1808.6,7,8; 10,1820.7,10,11"                        |
| ФП     | 1820.7   | 1      | "12,1826.3,4,5; 13,1838.9,0,1"                                         | "11,1808.6,7,8; 10,1820.7,10,11"                                       |
| ФП     | 1820.7   | 1      | "11,1808.6,7,8; 12,1826.3,4,5; 13,1838.9,0,1"                          | "10,1820.7,10,11"                                                      |
| ФП     | 1820.7   | 1      | "11,1808.6,7,8; 12,1826.3,4,5; 13,1838.9,0,1"                          | "10,1820.7,11,11"                                                      |
| ФКТ    | 1826.3   | 1      | "11,1808.6,7,8; 12,1826.3,4,5; 13,1838.9,0,1"                          | ""                                                                     |
| ФКТ    | 1826.3   | 1      | "12,1826.3,4,5; 13,1838.9,0,1"                                         | "11,1808.6,7,8"                                                        |
| ФП     | 1826.3   | 1      | "13,1838.9,0,1"                                                        | "11,1808.6,7,8; 12,1826.3,4,5"                                         |
| ФП     | 1826.3   | 0      | "13,1838.9,0,1"                                                        | "11,1808.6,8,9; 12,1826.3,4,5"                                         |
| ФП     | 1826.3   | 0      | "13,1838.9,0,1"                                                        | "11,1808.6,9,10; 12,1826.3,4,5"                                        |
| ФП     | 1826.3   | 0      | "13,1838.9,0,1; 11,1861.6,10,11"                                       | "12,1826.3,4,5"                                                        |
| ФП     | 1826.3   | 0      | "13,1838.9,0,1; 11,1861.6,10,11"                                       | "12,1826.3,5,6"                                                        |
| ФП     | 1826.3   | 1      | "13,1838.9,0,1; 11,1861.6,10,11"                                       | "12,1826.3,6,7"                                                        |
| ФКТ    | 1861.6   | 1      | "13,1838.9,0,1; 11,1861.6,10,11; 12,2016.5,7,8"                        | ""                                                                     |
| ФКТ    | 1861.6   | 1      | "11,1861.6,10,11; 12,2016.5,7,8"                                       | "13,1838.9,0,1"                                                        |
| ФП     | 1861.6   | 1      | "12,2016.5,7,8"                                                        | "13,1838.9,0,1; 11,1861.6,10,11"                                       |
| ФП     | 1861.6   | 1      | "12,2016.5,7,8"                                                        | "13,1838.9,1,2; 11,1861.6,10,11"                                       |
| ФП     | 1861.6   | 1      | "14,1990.5,0,1; 12,2016.5,7,8"                                         | "13,1838.9,2,3; 11,1861.6,10,11"                                       |
| ФП     | 1861.6   | 1      | "14,1990.5,0,1; 12,2016.5,7,8"                                         | "13,1838.9,3,4; 11,1861.6,10,11"                                       |
| ФП     | 1861.6   | 1      | "14,1990.5,0,1; 12,2016.5,7,8; 13,2016.6,4,5"                          | "11,1861.6,10,11"                                                      |
| ФП     | 1861.6   | 1      | "14,1990.5,0,1; 12,2016.5,7,8; 13,2016.6,4,5"                          | "11,1861.6,11,11"                                                      |
| ФКТ    | 2016.6   | 1      | "14,1990.5,0,1; 12,2016.5,7,8; 13,2016.6,4,5"                          | ""                                                                     |
| ФКТ    | 2016.6   | 1      | "12,2016.5,7,8; 13,2016.6,4,5"                                         | "14,1990.5,0,1"                                                        |
| ФКТ    | 2016.6   | 1      | "13,2016.6,4,5"                                                        | "14,1990.5,0,1; 12,2016.5,7,8"                                         |
| ФП     | 2016.6   | 1      | ""                                                                     | "14,1990.5,0,1; 12,2016.5,7,8; 13,2016.6,4,5"                          |
| ФП     | 2016.6   | 1      | ""                                                                     | "14,1990.5,1,2; 12,2016.5,7,8; 13,2016.6,4,5"                          |
| ФП     | 2016.6   | 1      | "15,2137.7,0,1"                                                        | "14,1990.5,2,3; 12,2016.5,7,8; 13,2016.6,4,5"                          |
| ФП     | 2016.6   | 1      | "15,2137.7,0,1"                                                        | "14,1990.5,3,4; 12,2016.5,7,8; 13,2016.6,4,5"                          |
| ФП     | 2016.6   | 1      | "15,2137.7,0,1; 14,2179.2,4,5"                                         | "12,2016.5,7,8; 13,2016.6,4,5"                                         |
